datekey;date;year;quarter;month;week;day;productkey;productid;productname;category;subcategory;brand;customerkey;customerid;customername;location;gender;agegroup;channelkey;channeltype;salesamount;unitssold;rating;sentimentscore;productreturned
190;2023-07-09;2023;3;7;27;9;43;43;Product 43;Books;Subcat B;Brand W;22;22;Customer 22;Texas;Male;36-45;2;Mobile App;1312.90;5;2;4.97;f
210;2023-07-29;2023;3;7;30;29;46;46;Product 46;Clothing;Subcat B;Brand Z;96;96;Customer 96;New York;Male;26-35;2;Mobile App;411.56;4;2;3.86;f
252;2023-09-09;2023;3;9;36;9;39;39;Product 39;Toys;Subcat A;Brand W;58;58;Customer 58;Texas;Male;46-55;1;Website;592.20;3;3;4.13;f
221;2023-08-09;2023;3;8;32;9;29;29;Product 29;Toys;Subcat C;Brand Y;47;47;Customer 47;Florida;Female;36-45;1;Website;2466.09;9;4;4.60;f
284;2023-10-11;2023;4;10;41;11;36;36;Product 36;Clothing;Subcat A;Brand X;67;67;Customer 67;Florida;Female;36-45;1;Website;711.40;5;4;5.00;f
165;2023-06-14;2023;2;6;24;14;31;31;Product 31;Clothing;Subcat B;Brand W;8;8;Customer 8;New York;Male;46-55;1;Website;4710.97;11;5;3.83;f
154;2023-06-03;2023;2;6;22;3;28;28;Product 28;Books;Subcat B;Brand X;80;80;Customer 80;New York;Male;18-25;2;Mobile App;3227.84;11;3;4.64;f
154;2023-06-03;2023;2;6;22;3;49;49;Product 49;Toys;Subcat B;Brand Y;75;75;Customer 75;Florida;Female;18-25;2;Mobile App;121.65;1;3;3.21;t
16;2023-01-16;2023;1;1;3;16;24;24;Product 24;Toys;Subcat A;Brand X;67;67;Customer 67;Florida;Female;36-45;1;Website;1169.49;3;4;4.08;f
255;2023-09-12;2023;3;9;37;12;43;43;Product 43;Books;Subcat B;Brand W;48;48;Customer 48;New York;Male;46-55;1;Website;2929.20;10;3;3.92;f
67;2023-03-08;2023;1;3;10;8;47;47;Product 47;Home & Garden;Subcat C;Brand W;11;11;Customer 11;Florida;Female;26-35;2;Mobile App;221.28;6;2;4.16;f
279;2023-10-06;2023;4;10;40;6;17;17;Product 17;Home & Garden;Subcat C;Brand Y;10;10;Customer 10;Texas;Male;18-25;1;Website;1481.46;3;5;4.10;f
151;2023-05-31;2023;2;5;22;31;11;11;Product 11;Clothing;Subcat C;Brand W;31;31;Customer 31;Florida;Female;26-35;1;Website;686.74;2;5;3.84;f
281;2023-10-08;2023;4;10;40;8;49;49;Product 49;Toys;Subcat B;Brand Y;78;78;Customer 78;Texas;Male;46-55;2;Mobile App;3347.47;7;3;3.99;f
324;2023-11-20;2023;4;11;47;20;37;37;Product 37;Home & Garden;Subcat B;Brand Y;63;63;Customer 63;Florida;Female;46-55;1;Website;1135.29;3;4;3.56;f
287;2023-10-14;2023;4;10;41;14;21;21;Product 21;Clothing;Subcat A;Brand Y;98;98;Customer 98;Texas;Male;46-55;1;Website;651.95;5;2;4.27;f
44;2023-02-13;2023;1;2;7;13;18;18;Product 18;Books;Subcat A;Brand Z;8;8;Customer 8;New York;Male;46-55;2;Mobile App;439.17;3;4;4.88;f
316;2023-11-12;2023;4;11;45;12;4;4;Product 4;Toys;Subcat B;Brand X;20;20;Customer 20;New York;Male;18-25;2;Mobile App;1577.44;8;4;3.60;t
209;2023-07-28;2023;3;7;30;28;28;28;Product 28;Books;Subcat B;Brand X;92;92;Customer 92;New York;Male;36-45;1;Website;2114.73;9;1;4.75;f
77;2023-03-18;2023;1;3;11;18;13;13;Product 13;Books;Subcat B;Brand Y;10;10;Customer 10;Texas;Male;18-25;2;Mobile App;2141.10;9;3;3.46;f
96;2023-04-06;2023;2;4;14;6;9;9;Product 9;Toys;Subcat A;Brand Y;56;56;Customer 56;New York;Male;26-35;2;Mobile App;161.95;5;5;3.46;f
311;2023-11-07;2023;4;11;45;7;27;27;Product 27;Home & Garden;Subcat A;Brand W;40;40;Customer 40;New York;Male;18-25;1;Website;2988.23;7;2;3.53;f
230;2023-08-18;2023;3;8;33;18;43;43;Product 43;Books;Subcat B;Brand W;36;36;Customer 36;New York;Male;26-35;1;Website;1102.60;5;3;3.30;f
220;2023-08-08;2023;3;8;32;8;39;39;Product 39;Toys;Subcat A;Brand W;32;32;Customer 32;New York;Male;36-45;1;Website;288.30;6;3;3.85;f
230;2023-08-18;2023;3;8;33;18;33;33;Product 33;Books;Subcat A;Brand Y;43;43;Customer 43;Florida;Female;46-55;1;Website;2034.67;11;3;4.46;f
118;2023-04-28;2023;2;4;17;28;12;12;Product 12;Home & Garden;Subcat A;Brand X;2;2;Customer 2;Texas;Male;36-45;2;Mobile App;169.89;3;4;3.25;f
15;2023-01-15;2023;1;1;2;15;23;23;Product 23;Books;Subcat C;Brand W;90;90;Customer 90;Texas;Male;18-25;2;Mobile App;1122.66;3;2;3.80;t
239;2023-08-27;2023;3;8;34;27;7;7;Product 7;Home & Garden;Subcat B;Brand W;20;20;Customer 20;New York;Male;18-25;2;Mobile App;2854.35;9;3;4.36;f
149;2023-05-29;2023;2;5;22;29;2;2;Product 2;Home & Garden;Subcat C;Brand Z;35;35;Customer 35;Florida;Female;18-25;2;Mobile App;217.50;3;5;4.25;f
277;2023-10-04;2023;4;10;40;4;8;8;Product 8;Books;Subcat C;Brand X;28;28;Customer 28;New York;Male;46-55;1;Website;4270.86;9;4;3.33;f
153;2023-06-02;2023;2;6;22;2;7;7;Product 7;Home & Garden;Subcat B;Brand W;8;8;Customer 8;New York;Male;46-55;2;Mobile App;4724.40;10;1;3.62;f
71;2023-03-12;2023;1;3;10;12;4;4;Product 4;Toys;Subcat B;Brand X;11;11;Customer 11;Florida;Female;26-35;2;Mobile App;264.90;3;4;4.96;f
155;2023-06-04;2023;2;6;22;4;21;21;Product 21;Clothing;Subcat A;Brand Y;71;71;Customer 71;Florida;Female;26-35;2;Mobile App;808.92;2;5;3.64;t
152;2023-06-01;2023;2;6;22;1;49;49;Product 49;Toys;Subcat B;Brand Y;88;88;Customer 88;New York;Male;46-55;1;Website;1190.84;7;2;3.28;f
88;2023-03-29;2023;1;3;13;29;36;36;Product 36;Clothing;Subcat A;Brand X;43;43;Customer 43;Florida;Female;46-55;1;Website;293.68;1;3;4.10;f
310;2023-11-06;2023;4;11;45;6;24;24;Product 24;Toys;Subcat A;Brand X;63;63;Customer 63;Florida;Female;46-55;2;Mobile App;1197.35;7;1;4.28;f
81;2023-03-22;2023;1;3;12;22;12;12;Product 12;Home & Garden;Subcat A;Brand X;90;90;Customer 90;Texas;Male;18-25;2;Mobile App;2452.10;7;3;3.52;f
330;2023-11-26;2023;4;11;47;26;14;14;Product 14;Toys;Subcat C;Brand Z;32;32;Customer 32;New York;Male;36-45;2;Mobile App;3139.99;7;2;3.21;f
297;2023-10-24;2023;4;10;43;24;13;13;Product 13;Books;Subcat B;Brand Y;82;82;Customer 82;Texas;Male;36-45;2;Mobile App;1175.76;3;2;3.97;f
100;2023-04-10;2023;2;4;15;10;34;34;Product 34;Toys;Subcat B;Brand Z;83;83;Customer 83;Florida;Female;46-55;2;Mobile App;2778.24;6;4;4.16;f
